Medicine Name *,Type *,SKU,Strength *,Strength Unit *,Category,Store *,Cost Price *,Selling Price,Opening Stock,Barcode,Batch Number,Manufacturing Date,Expiry Date,Brand,Discount Eligible,Max Discount Type,Max Discount Value
Loratadine 10mg,tablet,SMP064345-029,10,mg,Dermatology,Medicare Pharmacy Store,75,111.75,66,89064345029,B064345-029,2025-05-02,2027-05-05,Highnoon,No,,
Fexofenadine 120mg,tablet,SMP064345-030,120,mg,Injectables,Medicare Pharmacy Store,78,122.46,68,89064345030,B064345-030,2026-06-03,2029-06-06,Martin Dow,No,,
Prednisolone 5mg,tablet,SMP064345-031,5,mg,Analgesics,Medicare Pharmacy Store,81,101.25,70,89064345031,B064345-031,2025-07-04,2027-07-07,Pfizer,No,,
Dexamethasone 0.5mg,tablet,SMP064345-032,0.5,mg,Antibiotics,Medicare Pharmacy Store,84,111.72,72,89064345032,B064345-032,2026-08-05,2029-08-08,Novartis,No,,
Aspirin 75mg,tablet,SMP064345-033,75,mg,Antihistamines,Medicare Pharmacy Store,87,122.67,74,89064345033,B064345-033,2025-09-06,2027-09-09,Generic,No,,
Clopidogrel 75mg,tablet,SMP064345-034,75,mg,Antacids,Medicare Pharmacy Store,90,134.1,76,89064345034,B064345-034,2026-10-07,2029-10-10,Getz,No,,
Warfarin 5mg,tablet,SMP064345-035,5,mg,Cardiovascular,Medicare Pharmacy Store,93,146.01,78,89064345035,B064345-035,2025-11-08,2027-11-11,Searle,No,,
Furosemide 40mg,tablet,SMP064345-036,40,mg,Diabetes,Medicare Pharmacy Store,92.5,115.63,80,89064345036,B064345-036,2026-12-09,2029-12-12,GSK,No,,
Spironolactone 25mg,tablet,SMP064345-037,25,mg,Vitamins,Medicare Pharmacy Store,95.5,127.02,82,89064345037,B064345-037,2025-01-10,2027-01-13,Abbott,No,,
Glibenclamide 5mg,tablet,SMP064345-038,5,mg,Respiratory,Medicare Pharmacy Store,98.5,138.88,84,89064345038,B064345-038,2026-02-11,2029-02-14,Hilton,No,,
Gliclazide 80mg,tablet,SMP064345-039,80,mg,Dermatology,Medicare Pharmacy Store,101.5,151.23,86,89064345039,B064345-039,2025-03-12,2027-03-15,Sami,No,,
Sitagliptin 50mg,tablet,SMP064345-040,50,mg,Injectables,Medicare Pharmacy Store,104.5,164.06,88,89064345040,B064345-040,2026-04-13,2029-04-16,Highnoon,No,,
Insulin Regular 100IU,injection,SMP064345-041,100,IU,Analgesics,Medicare Pharmacy Store,7.5,9.38,90,89064345041,B064345-041,2025-05-14,2027-05-17,Martin Dow,No,,
Ceftriaxone 1g,injection,SMP064345-042,1,g,Antibiotics,Medicare Pharmacy Store,10.5,13.96,92,89064345042,B064345-042,2026-06-15,2029-06-18,Pfizer,No,,
Cefixime 400mg,capsule,SMP064345-043,400,mg,Antihistamines,Medicare Pharmacy Store,10,14.1,94,89064345043,B064345-043,2025-07-16,2027-07-19,Novartis,No,,
Linezolid 600mg,tablet,SMP064345-044,600,mg,Antacids,Medicare Pharmacy Store,13,19.37,96,89064345044,B064345-044,2026-08-17,2029-08-20,Generic,No,,
Metronidazole 400mg,tablet,SMP064345-045,400,mg,Cardiovascular,Medicare Pharmacy Store,16,25.12,98,89064345045,B064345-045,2025-09-18,2027-09-21,Getz,No,,
Tinidazole 500mg,tablet,SMP064345-046,500,mg,Diabetes,Medicare Pharmacy Store,19,23.75,100,89064345046,B064345-046,2026-10-19,2029-10-22,Searle,No,,
Vitamin D3 50000IU,capsule,SMP064345-047,50000,IU,Vitamins,Medicare Pharmacy Store,22,29.26,102,89064345047,B064345-047,2025-11-20,2027-11-23,GSK,No,,
Vitamin B12 1000mcg,injection,SMP064345-048,1000,mcg,Respiratory,Medicare Pharmacy Store,25,35.25,104,89064345048,B064345-048,2026-12-21,2029-12-24,Abbott,No,,
Folic Acid 5mg,tablet,SMP064345-049,5,mg,Dermatology,Medicare Pharmacy Store,28,41.72,106,89064345049,B064345-049,2025-01-22,2027-01-25,Hilton,No,,
Iron Polymaltose 50mg/5ml,syrup,SMP064345-050,50,mg/5ml,Injectables,Medicare Pharmacy Store,27.5,43.18,108,89064345050,B064345-050,2026-02-23,2029-02-26,Sami,No,,
ORS 20.5g,pcs,SMP064345-051,20.5,g,Analgesics,Medicare Pharmacy Store,30.5,38.13,10,89064345051,B064345-051,2025-03-24,2027-03-27,Highnoon,No,,
Calcium Carbonate 500mg,tablet,SMP064345-052,500,mg,Antibiotics,Medicare Pharmacy Store,33.5,44.55,12,89064345052,B064345-052,2026-04-25,2029-04-28,Martin Dow,No,,
Multivitamin 5ml,syrup,SMP064345-053,5,ml,Antihistamines,Medicare Pharmacy Store,36.5,51.46,14,89064345053,B064345-053,2025-05-26,2027-05-28,Pfizer,No,,
Chlorpheniramine 2mg/5ml,syrup,SMP064345-054,2,mg/5ml,Antacids,Medicare Pharmacy Store,39.5,58.85,16,89064345054,B064345-054,2026-06-27,2029-06-28,Novartis,No,,
Dextromethorphan 15mg/5ml,syrup,SMP064345-055,15,mg/5ml,Cardiovascular,Medicare Pharmacy Store,42.5,66.73,18,89064345055,B064345-055,2025-07-01,2027-07-04,Generic,No,,
Ambroxol 30mg/5ml,syrup,SMP064345-056,30,mg/5ml,Diabetes,Medicare Pharmacy Store,45.5,56.88,20,89064345056,B064345-056,2026-08-02,2029-08-05,Getz,No,,
Miconazole 2%,cream,SMP064345-057,2,%,Vitamins,Medicare Pharmacy Store,45,59.85,22,89064345057,B064345-057,2025-09-03,2027-09-06,Searle,No,,
Clotrimazole 1%,cream,SMP064345-058,1,%,Respiratory,Medicare Pharmacy Store,48,67.68,24,89064345058,B064345-058,2026-10-04,2029-10-07,GSK,No,,
Hydrocortisone 1%,ointment,SMP064345-059,1,%,Dermatology,Medicare Pharmacy Store,51,75.99,26,89064345059,B064345-059,2025-11-05,2027-11-08,Abbott,No,,
Betamethasone 0.1%,cream,SMP064345-060,0.1,%,Injectables,Medicare Pharmacy Store,54,84.78,28,89064345060,B064345-060,2026-12-06,2029-12-09,Hilton,No,,
Fusidic Acid 2%,cream,SMP064345-061,2,%,Analgesics,Medicare Pharmacy Store,57,71.25,30,89064345061,B064345-061,2025-01-07,2027-01-10,Sami,No,,
Mupirocin 2%,ointment,SMP064345-062,2,%,Antibiotics,Medicare Pharmacy Store,60,79.8,32,89064345062,B064345-062,2026-02-08,2029-02-11,Highnoon,No,,
Tobramycin 0.3%,drops,SMP064345-063,0.3,%,Antihistamines,Medicare Pharmacy Store,63,88.83,34,89064345063,B064345-063,2025-03-09,2027-03-12,Martin Dow,No,,
Ciprofloxacin Eye 0.3%,drops,SMP064345-064,0.3,%,Antacids,Medicare Pharmacy Store,62.5,93.13,36,89064345064,B064345-064,2026-04-10,2029-04-13,Pfizer,No,,
Artificial Tears 0.5%,drops,SMP064345-065,0.5,%,Cardiovascular,Medicare Pharmacy Store,65.5,102.84,38,89064345065,B064345-065,2025-05-11,2027-05-14,Novartis,No,,
Xylometazoline 0.1%,drops,SMP064345-066,0.1,%,Diabetes,Medicare Pharmacy Store,68.5,85.63,40,89064345066,B064345-066,2026-06-12,2029-06-15,Generic,No,,
Normal Saline 0.9%,injection,SMP064345-067,0.9,%,Vitamins,Medicare Pharmacy Store,71.5,95.09,42,89064345067,B064345-067,2025-07-13,2027-07-16,Getz,No,,
Dextrose 5%,injection,SMP064345-068,5,%,Respiratory,Medicare Pharmacy Store,74.5,105.04,44,89064345068,B064345-068,2026-08-14,2029-08-17,Searle,No,,
Tramadol 50mg,capsule,SMP064345-069,50,mg,Dermatology,Medicare Pharmacy Store,77.5,115.47,46,89064345069,B064345-069,2025-09-15,2027-09-18,GSK,No,,
Codeine 30mg,tablet,SMP064345-070,30,mg,Injectables,Medicare Pharmacy Store,80.5,126.39,48,89064345070,B064345-070,2026-10-16,2029-10-19,Abbott,No,,
Morphine 10mg/ml,injection,SMP064345-071,10,mg/ml,Analgesics,Medicare Pharmacy Store,80,100,50,89064345071,B064345-071,2025-11-17,2027-11-20,Hilton,No,,
Ketorolac 30mg/ml,injection,SMP064345-072,30,mg/ml,Antibiotics,Medicare Pharmacy Store,83,110.39,52,89064345072,B064345-072,2026-12-18,2029-12-21,Sami,No,,
Diclofenac Inj 75mg/ml,injection,SMP064345-073,75,mg/ml,Antihistamines,Medicare Pharmacy Store,86,121.26,54,89064345073,B064345-073,2025-01-19,2027-01-22,Highnoon,No,,
Omeprazole Inj 40mg,injection,SMP064345-074,40,mg,Antacids,Medicare Pharmacy Store,89,132.61,56,89064345074,B064345-074,2026-02-20,2029-02-23,Martin Dow,No,,
Hydrocortisone Inj 100mg,injection,SMP064345-075,100,mg,Cardiovascular,Medicare Pharmacy Store,92,144.44,58,89064345075,B064345-075,2025-03-21,2027-03-24,Pfizer,No,,
Adrenaline 1mg/ml,injection,SMP064345-076,1,mg/ml,Diabetes,Medicare Pharmacy Store,95,118.75,60,89064345076,B064345-076,2026-04-22,2029-04-25,Novartis,No,,
Atropine 1mg/ml,injection,SMP064345-077,1,mg/ml,Vitamins,Medicare Pharmacy Store,98,130.34,62,89064345077,B064345-077,2025-05-23,2027-05-26,Generic,No,,
Nitroglycerin 0.5mg,tablet,SMP064345-078,0.5,mg,Respiratory,Medicare Pharmacy Store,97.5,137.47,64,89064345078,B064345-078,2026-06-24,2029-06-27,Getz,No,,
Isosorbide Mononitrate 20mg,tablet,SMP064345-079,20,mg,Dermatology,Medicare Pharmacy Store,100.5,149.75,66,89064345079,B064345-079,2025-07-25,2027-07-28,Searle,No,,
Digoxin 0.25mg,tablet,SMP064345-080,0.25,mg,Injectables,Medicare Pharmacy Store,103.5,162.5,68,89064345080,B064345-080,2026-08-26,2029-08-28,GSK,No,,
Bisoprolol 5mg,tablet,SMP064345-081,5,mg,Analgesics,Medicare Pharmacy Store,6.5,8.13,70,89064345081,B064345-081,2025-09-27,2027-09-28,Abbott,No,,
Carvedilol 6.25mg,tablet,SMP064345-082,6.25,mg,Antibiotics,Medicare Pharmacy Store,9.5,12.64,72,89064345082,B064345-082,2026-10-01,2029-10-04,Hilton,No,,
Enalapril 5mg,tablet,SMP064345-083,5,mg,Antihistamines,Medicare Pharmacy Store,12.5,17.63,74,89064345083,B064345-083,2025-11-02,2027-11-05,Sami,No,,
Ramipril 5mg,tablet,SMP064345-084,5,mg,Antacids,Medicare Pharmacy Store,15.5,23.09,76,89064345084,B064345-084,2026-12-03,2029-12-06,Highnoon,No,,
Telmisartan 40mg,tablet,SMP064345-085,40,mg,Cardiovascular,Medicare Pharmacy Store,15,23.55,78,89064345085,B064345-085,2025-01-04,2027-01-07,Martin Dow,No,,
Valsartan 80mg,tablet,SMP064345-086,80,mg,Diabetes,Medicare Pharmacy Store,18,22.5,80,89064345086,B064345-086,2026-02-05,2029-02-08,Pfizer,No,,
Rosuvastatin 10mg,tablet,SMP064345-087,10,mg,Vitamins,Medicare Pharmacy Store,21,27.93,82,89064345087,B064345-087,2025-03-06,2027-03-09,Novartis,No,,
Simvastatin 20mg,tablet,SMP064345-088,20,mg,Respiratory,Medicare Pharmacy Store,24,33.84,84,89064345088,B064345-088,2026-04-07,2029-04-10,Generic,No,,
Fenofibrate 200mg,capsule,SMP064345-089,200,mg,Dermatology,Medicare Pharmacy Store,27,40.23,86,89064345089,B064345-089,2025-05-08,2027-05-11,Getz,No,,
Allopurinol 100mg,tablet,SMP064345-090,100,mg,Injectables,Medicare Pharmacy Store,30,47.1,88,89064345090,B064345-090,2026-06-09,2029-06-12,Searle,No,,
Colchicine 0.5mg,tablet,SMP064345-091,0.5,mg,Analgesics,Medicare Pharmacy Store,33,41.25,90,89064345091,B064345-091,2025-07-10,2027-07-13,GSK,No,,
Methotrexate 2.5mg,tablet,SMP064345-092,2.5,mg,Antibiotics,Medicare Pharmacy Store,32.5,43.23,92,89064345092,B064345-092,2026-08-11,2029-08-14,Abbott,No,,
Leflunomide 20mg,tablet,SMP064345-093,20,mg,Antihistamines,Medicare Pharmacy Store,35.5,50.05,94,89064345093,B064345-093,2025-09-12,2027-09-15,Hilton,No,,
Tamsulosin 0.4mg,capsule,SMP064345-094,0.4,mg,Antacids,Medicare Pharmacy Store,38.5,57.37,96,89064345094,B064345-094,2026-10-13,2029-10-16,Sami,No,,
Finasteride 5mg,tablet,SMP064345-095,5,mg,Cardiovascular,Medicare Pharmacy Store,41.5,65.16,98,89064345095,B064345-095,2025-11-14,2027-11-17,Highnoon,No,,
Sildenafil 50mg,tablet,SMP064345-096,50,mg,Diabetes,Medicare Pharmacy Store,44.5,55.63,100,89064345096,B064345-096,2026-12-15,2029-12-18,Martin Dow,No,,
Alprazolam 0.5mg,tablet,SMP064345-097,0.5,mg,Vitamins,Medicare Pharmacy Store,47.5,63.18,102,89064345097,B064345-097,2025-01-16,2027-01-19,Pfizer,No,,
Sertraline 50mg,tablet,SMP064345-098,50,mg,Respiratory,Medicare Pharmacy Store,50.5,71.2,104,89064345098,B064345-098,2026-02-17,2029-02-20,Novartis,No,,
Escitalopram 10mg,tablet,SMP064345-099,10,mg,Dermatology,Medicare Pharmacy Store,50,74.5,106,89064345099,B064345-099,2025-03-18,2027-03-21,Generic,No,,
Quetiapine 25mg,tablet,SMP064345-100,25,mg,Injectables,Medicare Pharmacy Store,53,83.21,108,89064345100,B064345-100,2026-04-19,2029-04-22,Getz,No,,
